c_id,c_fname,c_lname,c_phonenum,c_email,c_password,c_doctor,c_dob,c_address
DEFAULT,Stanleigh,Jepp,942-292-1975,sjeppj@ca.gov,kEHoDz,Sandra Lee,7/5/1986,"1115 Tomscot Court, Bakersfield, CA, 93311"
DEFAULT,Walton,Antos,800-386-7816,wantosk@multiply.com,u21XkC4Q,Abby Normal,11/9/1963,"028 East Circle, San Luis Obispo, CA 93407"
DEFAULT,Stuart,Jinkin,820-175-7748,sjinkinl@moonfruit.com,VkGlRD,Elloit Reed,11/13/1984,"2158 Ryan Hill, Bakersfield, CA, 93314"
DEFAULT,Zea,Danslow,373-181-7391,zdanslowm@time.com,Vzm8M7E,John Dorian,9/15/1949,"45 Oneill Trail, Bakersfield, CA, 93312"
DEFAULT,Borden,Chillcot,272-895-3214,bchillcotn@fastcompany.com,rHyllHFY,Abby Normal,11/25/1961,"96 Del Mar Lane, San Luis Obispo, CA 93407"
DEFAULT,Rowena,Cattanach,941-131-0527,rcattanacho@github.com,tjlwqzZqXMb,Derek Shepherd,10/31/1969,"833 Summer Ridge Drive, Bakersfield, CA, 93312"
DEFAULT,Irwin,Orteaux,302-238-3556,iorteauxp@booking.com,Veo4WpDM6Se,Sandra Lee,10/14/1978,"61982 Forest Dale Avenue, Bakersfield, CA, 93307"
DEFAULT,Jule,De Domenici,124-162-9184,jdedomeniciq@loc.gov,ZrpNAeU5ZE0,John Cook,11/23/1952,"041 Clarendon Trail, Bakersfield, CA, 93311"
DEFAULT,Ilsa,Lavelle,508-155-5218,ilaveller@google.it,1l2fteUqeIPi,Abby Normal,10/30/1945,"464 Londonderry Lane, Bakersfield, CA, 93312"
DEFAULT,Rossy,Olyff,211-722-8977,rolyffs@simplemachines.org,ijJcUZ4YU,Elloit Reed,1/10/1957,"730 Dwight Place, Bakersfield, CA, 93314"
DEFAULT,Carl,Hedau,691-201-5751,fhedaut@house.gov,SDGjbwJriVe,John Dorian,2/11/1945,"40440 Annamark Way, Bakersfield, CA, 93311"
DEFAULT,Billi,Mulbery,303-341-5305,bmulberyu@washington.edu,Gy6ITqhkY4W,Phillip McGraw,6/26/1975,"357 Dwight Drive, San Luis Obispo, CA 93407"
DEFAULT,Quentin,Mackison,344-607-8136,qmackisonv@slate.com,K4RPNhp90j,Derek Shepherd,9/3/1972,"95 Charing Cross Court, Bakersfield, CA, 93312"
DEFAULT,Harcourt,Mathevon,637-411-7363,hmathevonw@ox.ac.uk,CO0a72wkbLdc,John Cook,3/30/1978,"113 Grayhawk Way, Bakersfield, CA, 93307"
DEFAULT,Lenard,Gummie,892-424-6626,lgummiex@php.net,gGvhL2,John Sins,8/31/1979,"0353 Artisan Avenue, Bakersfield, CA, 93311"
DEFAULT,Tanhya,Pittway,821-741-6469,tpittwayy@oakley.com,7yCssfA8PjR,Jan Pol,3/29/1957,"1 Hauk Drive, Bakersfield, CA, 93314"
DEFAULT,Washington,Boundy,757-574-3689,wboundyz@utexas.edu,FCm4CTYAEwho,Jan Pol,3/23/1992,"381 Roth Center, Bakersfield, CA, 93311"
DEFAULT,Aldrich,Chiddy,501-216-7911,achiddy10@home.pl,MIyj1YGgPe,John Cook,11/18/1999,"6291 Corben Crossing, Bakersfield, CA, 93307"
DEFAULT,Claudia,Iddenden,975-340-9058,ciddenden11@baidu.com,YTT5WP,John Dorian,9/25/1966,"74 Graceland Junction, Bakersfield, CA, 93312"
DEFAULT,Bartlet,Drache,967-995-3395,bdrache12@google.it,NO8NVzPsM,John Cook,3/27/1944,"55666 5th Junction, Bakersfield, CA, 93311"
DEFAULT,Ameline,Dockwray,259-899-3836,adockwray13@hao123.com,C4iBkCNtaIdH,Derek Shepherd,6/23/1961,"54994 New Castle Pass, San Luis Obispo, CA 93407"
DEFAULT,John,Smith,123-456-7890,john@smith.com,test,John Dorian,6/24/1969,"123 Sunnyville St, Bakersfield, CA, 93311"
